date,fear_greed_raw,fear_greed_smoothed,fear_greed_z,n_headlines,extreme
2020-03-18,51.41583037913983,51.523155838062756,-3.638883513068624,168,fear
2020-03-20,52.70337536942225,52.036191854010156,-3.1875018021654205,181,fear
2020-03-19,51.20344188596492,52.085282517070894,-3.144310628850211,156,fear
2020-03-12,48.39280849092428,52.190452902052435,-3.0517791362577227,218,fear
2021-12-02,52.06632953570454,52.245896940954594,-3.0029981065422446,116,fear
2020-10-20,58.86115000000001,59.7083088446974,3.5626155109648985,64,greed
2020-03-30,54.736051141743246,59.59579297459442,3.463621279815143,183,greed
2020-03-27,63.139937353245045,59.18131053544308,3.0989494308456846,149,greed
2020-10-21,55.81543340773809,59.13456906564719,3.0578251355705506,88,greed
2021-06-04,59.350485632183904,58.94868240703763,2.8942774792869685,67,greed
