lexicon,n_terms_added,neutral_share,mean_compound,sd_compound,headlines_rescored_share
plain VADER,0,0.4957161343049786,0.1056101437036028,0.288147726834763,0.0
VADER + finance terms,46,0.4339303956957025,0.13262372403459785,0.3169938678096428,0.1614928829258326
