fund,variant,sharpe_base,sharpe_variant,difference,ci_low,ci_high,p_value,significant_5pct,n_days
Equity Minimum-Variance,adaptive tilt / plain lexicon,0.4790257081234323,0.5100908131597143,0.03106510503628196,-0.13347574062846493,0.20365922172922707,0.7488,False,753
Equity Minimum-Variance,fixed tilt / plain lexicon,0.4790257081234323,0.45692446327120706,-0.022101244852225255,-0.18345567219895792,0.13806591042852454,0.7996,False,753
Equity Maximum-Sharpe,adaptive tilt / plain lexicon,0.5733502737045146,0.65880393109362,0.08545365738910538,-0.08144081622586499,0.2541370865032148,0.3112,False,753
Equity Maximum-Sharpe,fixed tilt / plain lexicon,0.5733502737045146,0.5097197033003797,-0.06363057040413489,-0.20783419716915702,0.0871214849352199,0.4076,False,753
