fund,sharpe_base,sharpe_timed,sharpe_timed_net,max_drawdown_base,max_drawdown_timed,mean_exposure,annual_turnover
Combined Equal-Weight,0.760805551637651,1.0122556166666525,1.0019113389085548,-0.2787245867171564,-0.20306857031628678,0.8806646395004102,1.9728289519138322
Combined Minimum-Variance,0.4771612867866122,0.6590374387963778,0.6418158026809122,-0.15405232926907086,-0.11241222232207515,0.8806646395004102,1.9728289519138322
Combined Maximum-Sharpe,0.9811229276022897,1.1531968812896882,1.1438273954022518,-0.2582129955303567,-0.1973198824813427,0.8806646395004102,1.9728289519138322
Combined Risk Parity,0.8881388371221648,1.1266954096533162,1.1130536718991406,-0.19474639690661055,-0.1498006623984397,0.8806646395004102,1.9728289519138322
