family,method,sharpe_rolling,sharpe_expanding,change
Equity,Minimum-Variance,0.4787075242901689,0.5889274169619635,0.1102198926717946
Equity,Maximum-Sharpe,0.5729694365494389,0.663456276972237,0.09048684042279809
Equity,Risk Parity,0.7231606756793502,0.7174897710826563,-0.005670904596693838
Combined,Minimum-Variance,0.4771612867866122,0.5889234730295944,0.11176218624298218
Combined,Maximum-Sharpe,0.9811229276022897,0.3981910675148347,-0.582931860087455
Combined,Risk Parity,0.8881388371221648,0.7774819628304495,-0.11065687429171533
