fund,ann_return,ann_vol,sharpe,max_drawdown,growth_of_1,avg_turnover
Equity Minimum-Variance (base),0.05425010806121078,0.12728138380734236,0.4787075242901689,-0.15252216252159456,1.1710025043354382,0.15124257525777077
Equity Minimum-Variance + sentiment,0.05158395160122464,0.1281294321830813,0.45662095977490214,-0.16824261114968575,1.1621757305167784,0.21532918862624037
difference,-0.0026661564599861354,0.0008480483757389301,-0.02208656451526675,-0.015720448628091188,-0.008826773818659817,0.0640866133684696
Equity Maximum-Sharpe (base),0.0915216959474916,0.18169096207334154,0.5729694365494389,-0.2564841633963325,1.2991052898716753,0.3313813067655656
Equity Maximum-Sharpe + sentiment,0.08054633146497414,0.18615335040918188,0.5093811315570774,-0.26963173844720467,1.2604617266698008,0.36532610213865974
difference,-0.010975364482517458,0.004462388335840339,-0.06358830499236146,-0.013147575050872162,-0.038643563201874453,0.03394479537309414
