family,method,shrinkage,sharpe,ann_return,ann_vol,max_drawdown,n_assets_held,change
Equity,Minimum-Variance,False,0.4787075242901689,0.05425010806121078,0.12728138380734236,-0.15252216252159456,18,0.021309199991994487
Equity,Minimum-Variance,True,0.5000167242821634,0.05669204469425648,0.1262151305373453,-0.1533569875409979,19,0.021309199991994487
Equity,Maximum-Sharpe,False,0.5729694365494389,0.0915216959474916,0.18169096207334154,-0.2564841633963325,6,0.013943489619052118
Equity,Maximum-Sharpe,True,0.586912926168491,0.09428236372334786,0.18167785357078625,-0.25014502431320185,6,0.013943489619052118
Equity,Risk Parity,False,0.7231606756793502,0.09911018632759849,0.1452835500040012,-0.18493151342419345,50,0.0001697831208539169
Equity,Risk Parity,True,0.7233304588002041,0.0992056361363336,0.14539116335802216,-0.18503882047828957,50,0.0001697831208539169
Combined,Minimum-Variance,False,0.4771612867866122,0.05413485553675379,0.12753247707794313,-0.15405232926907086,19,0.05912938198758655
Combined,Minimum-Variance,True,0.5362906687741987,0.0614348924090542,0.1259747492222994,-0.15407068805530655,27,0.05912938198758655
Combined,Maximum-Sharpe,False,0.9811229276022897,0.24011927527631172,0.25151648111869157,-0.2582129955303567,8,-0.021573302566597174
Combined,Maximum-Sharpe,True,0.9595496250356925,0.23569731874892996,0.2540467865462844,-0.24710349112986985,8,-0.021573302566597174
Combined,Risk Parity,False,0.8881388371221648,0.13967271656876745,0.1620188280475995,-0.19474639690661055,60,-0.00023642371832388598
Combined,Risk Parity,True,0.8879024134038409,0.1399483032301272,0.16240506836236843,-0.19528305278663993,60,-0.00023642371832388598
