fund,variant,sharpe,ann_return,ann_vol,max_drawdown,sharpe_net_costs,ann_return_net_costs,avg_turnover
Equity Minimum-Variance,base (no sentiment),0.4787075242901689,0.05425010806121078,0.12728138380734236,-0.15252216252159456,0.464907537487808,0.052388774683056694,0.15124257525777077
Equity Minimum-Variance,fixed tilt / plain lexicon,0.45662095977490214,0.05158395160122464,0.1281294321830813,-0.16824261114968575,0.4370747446723242,0.048940867752256034,0.21532918862624037
Equity Minimum-Variance,adaptive tilt / plain lexicon,0.5097519949136552,0.05896378644383149,0.12861899367609744,-0.1354132265997119,0.4900305019478104,0.05626698958367182,0.2181544008631059
Equity Minimum-Variance,fixed tilt / extended lexicon,0.500734888066121,0.057534280266358095,0.12810412224109163,-0.16345644320546215,0.48155035099384025,0.05492328499810939,0.21154087531800422
Equity Minimum-Variance,adaptive tilt / extended lexicon,0.38736085439776713,0.042465510764833514,0.12876454818038957,-0.14882146537105823,0.3674907692562048,0.03979231538785899,0.21966401061470991
Equity Maximum-Sharpe,base (no sentiment),0.5729694365494389,0.0915216959474916,0.18169096207334154,-0.2564841633963325,0.5518855756911782,0.08731242327297317,0.3313813067655656
Equity Maximum-Sharpe,fixed tilt / plain lexicon,0.5093811315570774,0.08054633146497414,0.18615335040918188,-0.26963173844720467,0.48660557854468395,0.07594969305972965,0.36532610213865974
Equity Maximum-Sharpe,adaptive tilt / plain lexicon,0.6583663329509534,0.10835306271699441,0.18123793924881473,-0.23889675530647936,0.6358368037353058,0.1037843276584971,0.3544174275510613
Equity Maximum-Sharpe,fixed tilt / extended lexicon,0.5578157980485936,0.09005357902145028,0.18546345123963784,-0.26135281745766936,0.5349338935071789,0.08540848233078435,0.365945832229793
Equity Maximum-Sharpe,adaptive tilt / extended lexicon,0.5397004380520933,0.08533242718429035,0.18267433803871164,-0.25677754266491426,0.516703141960393,0.08074644549663801,0.36319360359755914
