sector,n_days,corr_lagged_sentiment_vs_return,mean_return_high_sentiment,mean_return_low_sentiment,spread_bps_per_day
Materials,1002,0.030971572074845195,0.0014637119926555395,5.604570616238093e-05,14.076662864931585
Consumer,1002,0.027253097456740927,0.00046849704391267787,1.7787966125355957e-05,4.507090777873219
Tech,1005,0.01324556676112232,0.0016985056772268687,0.0008716733201163807,8.26832357110488
Comm,1002,-0.006141231810872105,0.00037781006406001577,0.00041191641736110717,-0.341063533010914
Healthcare,1002,-0.023524808283261707,0.0003585412792638326,0.0007114591936615966,-3.5291791439776405
Industrials,1002,-0.0235461186443694,-0.0002135307233628616,0.001287493174263453,-15.010238976263146
Financials,1002,-0.024757146048394178,-0.0002704609454496067,0.0014218775001858923,-16.92338445635499
RealEstate,1002,-0.03742608522562147,-8.375358676264646e-05,0.0008891249966508049,-9.728785834134515
Utilities,1002,-0.05404756525250784,-0.0007744917389861179,0.001177239155038899,-19.51730894025017
Energy,1002,-0.05761792024378342,-0.00010817661486202093,0.002165846618013212,-22.74023232875233
