date,Equity Equal-Weight,Equity Minimum-Variance,Equity Maximum-Sharpe,Equity Risk Parity,Crypto Equal-Weight,Crypto Minimum-Variance,Crypto Maximum-Sharpe,Crypto Risk Parity,Combined Equal-Weight,Combined Minimum-Variance,Combined Maximum-Sharpe,Combined Risk Parity
2021-01-01,,,,,0.011329133285299164,0.015196468617686643,-0.0013385002060404272,0.01117537323725859,,,,
2021-01-02,,,,,0.019978567082061582,0.08222723282995292,0.07151711542898953,0.024057763881464966,,,,
2021-01-03,,,,,0.11648313458836879,0.023399271167573454,0.11623890599223285,0.1124991403547635,,,,
2021-01-04,-0.013701064199660329,0.003658666406823441,-0.005348381342281661,-0.011905939089692286,0.04302587474388919,-0.01828163309654285,0.025168708624561553,0.039605084106675736,-0.003890754794180218,0.0036585112979528045,-0.0031302851851825464,-0.005491585728967352
2021-01-05,0.012741623294831639,0.0011315029707972268,0.00586619360359486,0.008955166726395403,0.048157825155320744,0.05147442872646457,0.07327647012124916,0.047204921238356734,0.018935846474633644,0.001131512199013418,0.05021965798899464,0.013481919122436903
2021-01-06,0.01371658616336946,0.0064508925604971346,-0.011763648856111697,0.010789798370318238,0.19019363309393778,0.08332545012197934,0.11945397079177567,0.18148074677577308,0.046825544642974615,0.006450845171443564,0.10372264076302606,0.03363159755353062
2021-01-07,0.00979755852435793,0.006118006780475804,0.020808168840526386,0.008823785015699581,-0.00250688505559149,0.07549686540892386,0.020150764821716516,0.000463159664112478,0.007500963904495395,0.006118071552732918,0.03423512748430224,0.007759143048060579
2021-01-08,0.002539119714372262,-0.002735608058143213,-0.0009236404527193098,0.002573059616369777,-0.008428588309419727,0.03187985404162896,0.019651968290449018,-0.006498562403551622,0.00014837913623022558,-0.0027355718249567618,0.013914373242779554,0.0009590786725666156
2021-01-09,,,,,0.07992079206480085,-0.00684313156034988,0.024342815969046194,0.07544154780350865,,,,
2021-01-10,,,,,-0.030044249384713284,-0.04548357271462189,-0.04127135766216339,-0.03013843447537745,,,,
2021-01-11,0.0002414370513010855,0.00023095753433288735,-0.003898600503675298,-0.0008170626577038709,-0.12682212305461493,-0.07597893117231169,-0.10070357200961677,-0.12528941757445122,-0.023976108236173244,0.0002309310273349574,-0.047380422179658765,-0.017963967374283407
2021-01-12,0.0040531469905211726,0.001355512771182843,-0.016917589560490276,0.00031552502227594204,-0.014374768661355009,-0.042126777939419324,-0.0310196965894195,-0.01636831561531915,0.0014124661877676914,0.0013553983894780686,-0.024280300471384852,-0.0012326304425545054
2021-01-13,-0.0003666870544487555,-0.0017338239226722951,-0.0009202287303534673,-8.985547212669864e-05,0.08238049280592019,0.09541802342223749,0.09287418815383042,0.08300828366676116,0.014305437693910905,-0.0017338042665000497,0.0647165390698341,0.010377398827429385
