date,sector,sentiment,sentiment_smoothed,sentiment_lagged,n_tickers,n_headlines
2020-01-02,Comm,0.128345,0.128345,,4,11
2020-01-03,Comm,0.135575,0.13196,0.128345,2,3
2020-01-06,Comm,0.2218097222222222,0.1619099074074074,0.13196,3,16
2020-01-07,Comm,0.34936666666666666,0.2087740972222222,0.1619099074074074,3,5
2020-01-08,Comm,0.21776374999999998,0.21057202777777775,0.2087740972222222,4,20
2020-01-09,Comm,0.2031,0.22552302777777777,0.21057202777777775,5,6
2020-01-10,Comm,0.03584583333333334,0.20557719444444444,0.22552302777777777,4,8
2020-01-13,Comm,0.03800208333333334,0.16881566666666664,0.20557719444444444,2,14
2020-01-14,Comm,0.13665000000000002,0.12627233333333335,0.16881566666666664,2,4
2020-01-15,Comm,0.0006972222222222194,0.08285902777777779,0.12627233333333335,3,9
2020-01-16,Comm,0.16319166666666665,0.07487736111111112,0.08285902777777779,4,17
2020-01-17,Comm,0.0634,0.08038819444444444,0.07487736111111112,3,8
2020-01-21,Comm,-0.027549999999999998,0.06727777777777778,0.08038819444444444,4,19
2020-01-22,Comm,0.18275,0.07649777777777778,0.06727777777777778,3,4
2020-01-23,Comm,0.20901971428571428,0.11816227619047619,0.07649777777777778,5,22
2020-01-24,Comm,0.14091825757575757,0.11370759437229436,0.11816227619047619,4,24
2020-01-27,Comm,-0.028088636363636364,0.09540986709956709,0.11370759437229436,4,20
2020-01-28,Comm,0.05230500000000002,0.1113808670995671,0.09540986709956709,4,15
2020-01-29,Comm,0.39062625,0.1529561170995671,0.1113808670995671,4,11
2020-01-30,Comm,0.00016041666666666288,0.1111842575757576,0.1529561170995671,4,18
2020-01-31,Comm,-0.22540681818181818,0.03791924242424244,0.1111842575757576,4,15
2020-02-03,Comm,0.14507,0.0725509696969697,0.03791924242424244,5,21
2020-02-04,Comm,0.13610150000000001,0.0893102696969697,0.0725509696969697,5,17
2020-02-05,Comm,0.005085416666666672,0.012202103030303035,0.0893102696969697,4,12
2020-02-06,Comm,0.1370304761904762,0.039576114935064945,0.012202103030303035,5,19
2020-02-07,Comm,0.0717575,0.09900897857142858,0.039576114935064945,4,13
2020-02-10,Comm,0.111321875,0.09225935357142857,0.09900897857142858,4,20
2020-02-11,Comm,-0.0010947058823529282,0.064820112394958,0.09225935357142857,4,24
2020-02-12,Comm,0.1768422222222222,0.0991714735060691,0.064820112394958,5,18
2020-02-13,Comm,0.12432785714285713,0.09663094969654529,0.0991714735060691,5,20
2020-02-14,Comm,0.6249,0.20725944969654528,0.09663094969654529,1,1
2020-02-18,Comm,0.07392809523809522,0.19978069374416432,0.20725944969654528,5,23
2020-02-19,Comm,0.18420416666666664,0.23684046825396826,0.19978069374416432,2,7
2020-02-20,Comm,0.07223333333333333,0.2159186904761905,0.23684046825396826,3,15
2020-02-21,Comm,-0.0012277777777777814,0.1908075634920635,0.2159186904761905,3,7
2020-02-24,Comm,0.04713888888888889,0.07525534126984126,0.1908075634920635,3,10
2020-02-25,Comm,0.20084444444444446,0.1006386111111111,0.07525534126984126,3,5
2020-02-26,Comm,0.15698333333333334,0.09519444444444444,0.1006386111111111,4,10
2020-02-27,Comm,0.211275,0.1230027777777778,0.09519444444444444,4,8
2020-02-28,Comm,-0.05908142857142856,0.11143204761904761,0.1230027777777778,5,17
2020-03-02,Comm,0.14582916666666668,0.13117010317460318,0.11143204761904761,4,17
2020-03-03,Comm,0.061625000000000006,0.10332621428571429,0.13117010317460318,4,11
2020-03-04,Comm,0.12637083333333332,0.09720371428571428,0.10332621428571429,4,7
2020-03-05,Comm,0.16853500000000002,0.0886557142857143,0.09720371428571428,5,10
2020-03-06,Comm,0.1799625,0.13646450000000002,0.0886557142857143,2,6
2020-03-09,Comm,-0.003905357142857141,0.10651759523809523,0.13646450000000002,4,16
2020-03-10,Comm,-0.01257733333333333,0.09167712857142858,0.10651759523809523,5,18
2020-03-11,Comm,0.027750000000000004,0.07195296190476191,0.09167712857142858,4,9
2020-03-12,Comm,0.014293333333333325,0.04110462857142857,0.07195296190476191,3,12
2020-03-13,Comm,0.154925,0.03609712857142857,0.04110462857142857,3,16
2020-03-16,Comm,-0.04392583333333336,0.02809303333333333,0.03609712857142857,4,28
2020-03-17,Comm,0.09637000000000001,0.049882499999999996,0.02809303333333333,4,17
2020-03-18,Comm,0.068795,0.0580915,0.049882499999999996,4,11
2020-03-19,Comm,0.04844999999999999,0.06492283333333333,0.0580915,5,14
2020-03-20,Comm,-0.06004166666666667,0.021929499999999998,0.06492283333333333,3,6
2020-03-23,Comm,0.17607505194805195,0.06592967705627706,0.021929499999999998,5,28
2020-03-24,Comm,0.2727059523809524,0.10119686753246752,0.06592967705627706,4,18
2020-03-25,Comm,0.193996,0.12623706753246755,0.10119686753246752,5,15
2020-03-26,Comm,0.13822666666666666,0.14419240086580087,0.12623706753246755,5,13
2020-03-27,Comm,0.2737066666666667,0.21094206753246753,0.14419240086580087,3,11
2020-03-30,Comm,0.29626749999999996,0.23498055714285715,0.21094206753246753,4,15
2020-03-31,Comm,0.20055555555555557,0.22055047777777775,0.23498055714285715,3,6
2020-04-01,Comm,0.08955416666666667,0.1996621111111111,0.22055047777777775,4,21
2020-04-02,Comm,-0.06284,0.15944877777777777,0.1996621111111111,5,10
2020-04-03,Comm,0.2131947619047619,0.1473463968253968,0.15944877777777777,5,16
2020-04-06,Comm,0.3826791666666667,0.16462873015873017,0.1473463968253968,4,16
2020-04-07,Comm,0.2214537878787879,0.1688083766233766,0.16462873015873017,4,20
2020-04-08,Comm,0.046854999999999994,0.1602685432900433,0.1688083766233766,4,13
2020-04-09,Comm,-0.02296333333333333,0.16824387662337664,0.1602685432900433,5,16
2020-04-13,Comm,0.07102916666666666,0.1398107575757576,0.16824387662337664,4,16
2020-04-14,Comm,0.28798595238095237,0.12087211471861473,0.1398107575757576,4,16
2020-04-15,Comm,0.16076041666666668,0.10873344047619046,0.12087211471861473,4,16
2020-04-16,Comm,0.27466999999999997,0.15429644047619048,0.10873344047619046,4,16
2020-04-17,Comm,0.14286583333333333,0.1874622738095238,0.15429644047619048,4,15
2020-04-20,Comm,0.08840624999999999,0.19093769047619047,0.1874622738095238,4,12
2020-04-21,Comm,0.13510333333333333,0.16036116666666667,0.19093769047619047,5,15
2020-04-22,Comm,0.23810238095238098,0.17582955952380952,0.16036116666666667,4,26
2020-04-23,Comm,0.15204166666666666,0.15130389285714285,0.17582955952380952,4,24
2020-04-24,Comm,0.01891136363636364,0.12651299891774892,0.15130389285714285,4,17
2020-04-27,Comm,0.08644393939393939,0.12612053679653681,0.12651299891774892,5,21
2020-04-28,Comm,0.18724939393939394,0.1365497489177489,0.12612053679653681,5,36
2020-04-29,Comm,0.14412275132275132,0.11775382299182299,0.1365497489177489,3,19
2020-04-30,Comm,0.04027708333333334,0.09540090632515633,0.11775382299182299,4,27
2020-05-01,Comm,-0.03161958333333333,0.08529471693121693,0.09540090632515633,4,19
2020-05-04,Comm,0.12881185185185184,0.09376829942279943,0.08529471693121693,3,23
2020-05-05,Comm,0.12794714285714287,0.08190784920634922,0.09376829942279943,5,35
2020-05-06,Comm,-0.046784166666666675,0.04372646560846561,0.08190784920634922,4,33
2020-05-07,Comm,0.18297583333333334,0.0722662156084656,0.04372646560846561,4,23
2020-05-08,Comm,0.34600000000000003,0.14779013227513227,0.0722662156084656,3,9
2020-05-11,Comm,0.18262571428571428,0.15855290476190476,0.14779013227513227,5,23
2020-05-12,Comm,0.076373,0.1482380761904762,0.15855290476190476,5,18
2020-05-13,Comm,0.06495,0.17058490952380953,0.1482380761904762,3,4
2020-05-14,Comm,0.19857333333333332,0.17370440952380953,0.17058490952380953,5,14
2020-05-15,Comm,0.19169666666666668,0.14284374285714282,0.17370440952380953,5,16
2020-05-18,Comm,0.1697866666666667,0.14027593333333335,0.14284374285714282,5,20
2020-05-19,Comm,0.16094483333333334,0.1571903,0.14027593333333335,5,20
2020-05-20,Comm,0.05809933333333332,0.15582016666666668,0.1571903,5,27
2020-05-21,Comm,0.098722,0.13584990000000002,0.15582016666666668,5,11
2020-05-22,Comm,0.025329999999999984,0.10257656666666667,0.13584990000000002,5,10
2020-05-26,Comm,0.17064866666666667,0.10274896666666666,0.10257656666666667,5,20
2020-05-27,Comm,0.21130333333333334,0.11282066666666668,0.10274896666666666,5,22
2020-05-28,Comm,0.10519636363636362,0.1222400727272727,0.11282066666666668,5,23
2020-05-29,Comm,0.12601250000000003,0.12769817272727274,0.1222400727272727,4,14
2020-06-01,Comm,0.15972342857142857,0.15457685844155844,0.12769817272727274,5,17
2020-06-02,Comm,0.28929444444444447,0.17830601399711402,0.15457685844155844,3,9
2020-06-03,Comm,-0.07269666666666666,0.12150601399711403,0.17830601399711402,5,12
2020-06-04,Comm,0.145385,0.1295437412698413,0.12150601399711403,5,11
2020-06-05,Comm,0.15436166666666667,0.1352135746031746,0.1295437412698413,4,11
2020-06-08,Comm,-0.10341249999999999,0.0825863888888889,0.1352135746031746,5,16
2020-06-09,Comm,0.0,0.024727500000000003,0.0825863888888889,3,6
2020-06-10,Comm,0.011962500000000015,0.04165933333333334,0.024727500000000003,4,6
2020-06-11,Comm,0.04202952380952381,0.0209882380952381,0.04165933333333334,5,14
2020-06-12,Comm,0.13167777777777778,0.016451460317460323,0.0209882380952381,3,9
2020-06-15,Comm,0.004104166666666652,0.037954793650793656,0.016451460317460323,4,16
2020-06-16,Comm,0.09643666666666666,0.057242126984126986,0.037954793650793656,5,23
2020-06-17,Comm,0.107765,0.07640262698412699,0.057242126984126986,5,12
2020-06-18,Comm,0.03431624999999999,0.07485997222222221,0.07640262698412699,4,16
2020-06-19,Comm,0.15536666666666665,0.07959775,0.07485997222222221,4,11
2020-06-22,Comm,0.19210833333333333,0.11719858333333333,0.07959775,4,11
2020-06-23,Comm,0.21072222222222223,0.14005569444444443,0.11719858333333333,3,8
2020-06-24,Comm,0.12691010101010103,0.14388471464646463,0.14005569444444443,3,16
2020-06-25,Comm,0.10929111111111112,0.15887968686868686,0.14388471464646463,3,10
2020-06-26,Comm,0.36275,0.20035635353535355,0.15887968686868686,2,5
2020-06-29,Comm,0.05177025641025641,0.17228873815073814,0.20035635353535355,5,22
2020-06-30,Comm,0.1538904761904762,0.16092238894438896,0.17228873815073814,3,9
2020-07-01,Comm,-0.0343,0.12868036874236874,0.16092238894438896,4,6
2020-07-02,Comm,0.030708333333333334,0.11296381318681319,0.12868036874236874,3,7
2020-07-06,Comm,0.049808000000000005,0.05037541318681319,0.11296381318681319,5,21
2020-07-07,Comm,0.08076000000000001,0.05617336190476191,0.05037541318681319,5,14
2020-07-08,Comm,-0.11006874999999999,0.003381516666666673,0.05617336190476191,4,8
2020-07-09,Comm,0.21056249999999999,0.05235401666666667,0.003381516666666673,2,6
2020-07-10,Comm,0.0,0.04621235,0.05235401666666667,2,4
2020-07-13,Comm,0.10696111111111112,0.05764297222222222,0.04621235,3,11
2020-07-14,Comm,0.04039642857142857,0.04957025793650793,0.05764297222222222,4,10
2020-07-15,Comm,0.09271666666666667,0.09012734126984126,0.04957025793650793,4,7
2020-07-16,Comm,0.20586666666666667,0.0891881746031746,0.09012734126984126,4,7
2020-07-17,Comm,-0.3902,0.01114817460317461,0.0891881746031746,1,2
2020-07-20,Comm,0.09110555555555555,0.007977063492063497,0.01114817460317461,3,8
2020-07-21,Comm,0.27104,0.05410577777777779,0.007977063492063497,5,10
2020-07-22,Comm,0.11681666666666667,0.058925777777777785,0.05410577777777779,4,7
2020-07-23,Comm,-0.1875375,-0.01975505555555555,0.058925777777777785,3,10
2020-07-24,Comm,0.17202812500000003,0.09269056944444445,-0.01975505555555555,4,18
